"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",182,390,417,521,133,506,188,335,446,161
"2",568,48,509,518,385,275,59,90,3,394
"3",351,535,535,442,357,547,239,388,123,228
"4",110,335,90,38,396,562,73,35,282,168
"5",456,376,38,130,62,535,121,520,166,264
"6",325,346,427,145,418,13,514,157,198,333
"7",151,467,144,166,467,20,568,53,267,453
"8",524,297,104,75,7,218,139,499,86,513
"9",434,244,29,560,526,83,345,227,59,479
"10",186,326,260,348,401,233,132,40,440,443
"11",366,528,327,449,553,183,153,403,35,42
"12",423,537,279,93,79,108,383,245,468,206
"13",80,541,143,231,474,316,516,484,38,561
"14",531,255,301,304,65,346,325,138,330,225
"15",138,286,64,152,473,70,107,400,333,339
"16",214,366,168,48,379,49,500,276,541,252
"17",104,391,558,77,378,180,124,143,427,486
"18",83,270,545,98,22,217,437,168,238,401
"19",11,140,296,464,481,337,349,132,477,55
"20",6,531,212,66,216,536,357,414,430,525
"21",502,221,258,65,61,382,259,237,345,392
"22",548,102,254,294,230,232,304,461,225,182
"23",479,443,45,235,11,357,242,4,546,68
"24",283,104,257,105,408,6,22,107,289,177
"25",43,12,94,472,423,524,278,36,227,342
"26",370,278,142,16,460,191,524,391,348,121
"27",436,50,372,195,340,216,21,213,89,350
"28",21,287,342,232,556,418,228,189,113,64
"29",132,55,252,404,393,390,135,219,317,12
"30",122,488,525,296,562,463,13,177,222,332
"31",107,236,400,284,483,235,303,344,556,221
"32",299,360,393,238,81,109,501,137,383,103
"33",144,171,540,431,138,481,411,14,495,270
"34",314,378,9,45,345,36,367,7,78,298
"35",218,315,436,481,76,566,169,48,154,243
"36",345,198,474,409,373,160,505,151,91,208
"37",158,508,139,211,118,502,474,490,487,419
"38",424,192,364,293,105,276,68,407,149,155
"39",510,208,95,278,306,388,79,562,104,200
"40",394,487,382,103,560,356,150,364,251,110
"41",176,344,183,219,245,538,459,371,507,324
"42",42,41,322,112,557,132,489,427,25,305
"43",302,165,351,356,327,159,433,226,165,130
"44",180,223,83,222,541,27,210,251,14,383
"45",425,380,359,324,514,268,195,16,498,442
"46",387,57,439,163,402,57,404,519,96,533
"47",343,388,318,201,537,155,201,416,481,244
"48",467,136,490,36,277,258,475,357,482,165
"49",507,154,401,432,413,280,15,268,401,188
"50",496,30,285,406,497,43,549,493,564,560
"51",55,502,37,198,229,343,366,113,232,9
"52",63,361,484,253,405,509,65,129,323,467
"53",28,431,162,15,170,262,94,172,314,485
"54",353,276,274,97,50,540,159,467,462,75
"55",288,288,306,10,120,285,133,42,261,285
"56",187,158,441,401,493,248,350,401,223,378
"57",380,201,247,421,479,254,309,246,532,527
"58",113,26,289,76,494,107,86,47,106,105
"59",49,92,99,223,431,289,194,236,51,551
"60",446,522,494,263,519,175,292,480,239,484
"61",188,298,71,413,471,150,418,158,181,287
"62",209,43,334,378,436,352,485,130,559,478
"63",46,510,114,134,278,239,162,64,508,294
"64",124,70,416,540,372,153,477,207,276,451
"65",248,463,198,335,381,151,104,298,406,196
"66",22,59,522,73,461,172,177,405,270,160
"67",473,218,307,414,328,489,284,170,9,25
"68",199,336,181,369,564,458,293,565,344,70
"69",271,82,123,53,14,504,534,84,472,284
"70",54,310,496,392,404,230,72,233,209,336
"71",470,175,560,118,472,452,151,181,563,170
"72",45,268,567,268,266,176,171,78,148,352
"73",309,419,67,160,453,118,307,454,417,39
"74",192,120,295,169,297,73,468,252,241,496
"75",268,38,17,30,140,379,181,253,16,222
"76",189,233,222,266,499,368,519,465,202,95
"77",197,441,208,316,38,392,386,215,555,456
"78",307,548,506,72,218,229,1,131,277,539
"79",101,413,155,301,296,364,546,397,116,234
"80",546,394,76,203,370,72,298,318,324,469
"81",565,193,241,120,523,361,561,311,360,4
"82",316,450,495,346,143,291,279,509,359,67
"83",44,285,52,233,258,16,238,308,423,430
"84",386,345,41,126,220,508,269,549,65,32
"85",545,227,331,507,314,187,445,498,374,151
"86",429,1,459,496,239,332,420,342,387,274
"87",241,536,103,478,400,487,223,392,224,318
"88",41,406,148,443,208,377,564,426,31,471
"89",499,87,55,533,268,426,314,349,177,354
"90",236,369,544,164,161,398,184,125,7,62
"91",205,410,420,218,114,449,358,38,132,92
"92",256,330,492,526,527,283,170,197,36,291
"93",514,230,8,569,363,226,455,491,37,414
"94",391,368,165,54,263,145,252,279,505,40
"95",194,567,134,490,287,402,35,30,150,227
"96",412,305,381,217,145,259,355,552,396,52
"97",337,33,232,403,18,430,414,343,156,520
"98",378,282,167,159,96,45,330,81,568,193
"99",161,210,121,334,283,340,154,133,342,395
