"","x"
"1","Thermo KC B_left - mbi2 - unknown #7187384"
"2","KC no pair #4412036"
"3","KC65;_42a left #5937084"
"4","KC42 #11725803"
"5","LON KC left #8262372"
"6","KC13 #14898816"
"7","Thermo KC A_Left   -   Mushroom Body  Right #8118474"
"8","KC no pair #16435965"
"9","KC17 #11691603"
"10","KC14 #16039470"
"11","KC78? #16631114"
"12","KC no pair #4411505"
"13","KC no pair #16627861"
"14","KC no pair #15721919"
"15","KC21 #8262302"
"16","KC90 #16977881"
"17","KC no pair #16630385"
"18","KC100 #16058860"
"19","KC49? #16627838"
"20","KC12 #11725127"
"21","KC34 #16629788"
"22","KC no pair #4518546"
"23","KC no pair #8262503"
"24","KC72 #4117305"
"25","KC no pair #16627773"
"26","KC no pair #8865199"
"27","KC54 #6704232"
"28","KC2/24 #4412315"
"29","KC no pair #16444327"
"30","KC22 #16630941"
"31","KC no pair #17147410"
"32","KC no pair #8513389"
"33","KC16 #12726582"
"34","KC82 #15722867"
"35","KC no pair #14898295"
"36","KC no pair #12217572"
"37","KC25 #16630264"
"38","KC no pair #4134539"
"39","KC no claws #15691114"
"40","KC no pair #8263285"
"41","KC no pair #16631248"
"42","KC67 #16939375"
"43","KC no claws #16627950"
"44","KC no pair #11785627"
"45","KC no pair #8393981"
"46","KC no pair #14522124"
"47","KC no pair #8864096"
"48","KC no pair #16210988"
"49","KC no pair #8177991"
"50","KC no pair #14460113"
"51","KC no pair #8263140"
"52","KC no pair #16015738"
"53","KC no pair #16017113"
"54","KC no pair #16440649"
"55","KC no pair #16631222"
"56","KC no pair #15861524"
"57","KC no pair #14319960"
"58","KC no pair #6702830"
"59","KC no pair #9983191"
"60","KC no pair #16629757"
"61","KC no pair #16629931"
"62","KC no pair #14519048"
"63","KC no pair #3819171"
"64","KC no pair #16440704"
"65","KC no pair #3819157"
"66","KC young no claws #15788431"
"67","KC no pair #16438190"
"68","KC no claws #14255342"
"69","KC no pair #8248706"
"70","KC no claws #11691640"
"71","KC no pair #16630024"
"72","KC no pair #15734988"
"73","KC no claws #8318678"
"74","KC no claws #15722306"
"75","KC young no claws #10455234"
"76","KC young no claws #16448979"
"77","KC young no claws #16220042"
"78","KC young no claws #15764960"
"79","KC young no claw #15691118"
"80","KC young #16628000"
"81","KC young no claws #16448930"
"82","KC young #15691122"
"83","KC young no claws #16448971"
"84","KC young #16464614"
"85","KC young #16053670"
"86","KC young #16435406"
"87","KC young #16448983"
"88","KC young #16448954"
"89","KC young #16026042"
"90","KC young #15734666"
"91","KC young #15828093"
"92","KC young #16448967"
"93","KC young #16443532"
"94","KC young #15939130"
"95","KC young #15741951"
"96","KC young #16448926"
"97","KC young #15788419"
"98","KC very young #16053650"
"99","KC young #10450307"
"100","KC young #16448934"
"101","KC very young #17454963"
"102","MBE9a left"
"103","MBE1d left"
"104","MBE4f right"
"105","MBE1b right"
"106","MBE1d right"
"107","MBE1b left"
"108","MBE1c left"
"109","MBE24a left"
"110","MBE4a left"
"111","MBE4h right"
"112","MBE4h left"
"113","MBE4g left"
"114","MBE4a right"
"115","MBE1c right"
"116","MBE10a right"
"117","MBE10b right"
"118","MBE24a right"
"119","MBE4g right"
"120","MBE22 right"
"121","Ladder (olfactory) post."
"122","Ladder (olfactory) ant."
"123","MBE18 left"
"124","MBE9b left"
"125","MBE5b right"
"126","MBE15a left"
"127","MBE15b left"
"128","MBE7b left"
"129","MBE6 left"
"130","MBE2a left"
"131","MBE13b left"
"132","MBE5a right"
