"","x"
"1","Thermo KC A_Right - Mushroom Body  Left #4229950"
"2","KC12 #4230061"
"3","KC10 #4227304"
"4","KC42 #8066542"
"5","KC16 #4415241"
"6","KC100 #11813287"
"7","LON KC right #8068173"
"8","KC21 #5051342"
"9","KC2 #3347708"
"10","KC13 #4230739"
"11","KC90 #9796812"
"12","Thermo KC B_right - mbi2 - unknown #3664102"
"13","KC96 #10056280"
"14","KC34 #7786053"
"15","KC78 #9556700"
"16","KC25 #5836163"
"17","KC28 #5836206"
"18","KC20 #5019924"
"19","KC65;_42a right #8850802"
"20","KC22 #5835799"
"21","KC49 #8413663"
"22","KC unpaired #4241192"
"23","KC73 #16850888"
"24","KC17 #4444354"
"25","KC27 #5836197"
"26","KC66 #8891315"
"27","KC86 #9766793"
"28","KC #0 #29"
"29","KC82 #9609048"
"30","KC50 #8419602"
"31","KC40 #7891312"
"32","KC31 #7196392"
"33","KC38 #7840203"
"34","KC29 #5836387"
"35","KC24 #5836035"
"36","KC48 #8274902"
"37","KC95 #9897223"
"38","KC64 #8835968"
"39","KC54 #8559607"
"40","KC53 #8509987"
"41","KC99 #10259967"
"42","KC94 #9889095"
"43","KC76 #9525492"
"44","KC4 #3497901"
"45","KC15 #4414426"
"46","KC11 #4227544"
"47","KC84 #9730873"
"48","KC3 #3347834"
"49","KC91 #9809626"
"50","KC39 #7868195"
"51","KC92 #9813188"
"52","KC72 #16720240"
"53","KC33 #7690945"
"54","KC23 #5835815"
"55","KC52 #8504660"
"56","KC36 #7829784"
"57","KC37 #7838405"
"58","KC35 #7828725"
"59","KC67 #8924186"
"60","KC70 #8997281"
"61","KC83 #9707941"
"62","KC51 #8427677"
"63","KC26 #5836181"
"64","KC7 #3587612"
"65","KC93 #9847388"
"66","KC19 #4982172"
"67","KC77 #9531722"
"68","KC30 #16625432"
"69","KC97 #10169396"
"70","KC1 #677717"
"71","KC5 #3522293"
"72","KC68 young #8957325"
"73","KC69 young #8978117"
"74","KC85 young #9741463"
"75","KC46 young #8260011"
"76","KC74 young #9511772"
"77","KC18 young #4919895"
"78","KC55 young #8723397"
"79","KC32 #14547259"
"80","KC98 young #10246566"
"81","KC63 young #8792120"
"82","KC71 young #9012340"
"83","KC41 young #8066411"
"84","KC8 young #3605630"
"85","KC44 young #8259192"
"86","KC80 young #9578602"
"87","KC6 young #3565102"
"88","KC75 young #9517477"
"89","KC57 very young #8764750"
"90","KC9 young #3679411"
"91","KC81 very young #9606354"
"92","KC79 young #9574259"
"93","KC59 young #8766921"
"94","KC104 very young #8247315"
"95","KC62 young #8773879"
"96","KC89 young #9782026"
"97","KC101 very young #16145456"
"98","KC45 very young #8259199"
"99","KC43 very young #8259179"
"100","KC56 young #8761400"
"101","MBE9a right"
"102","MBE4f left"
"103","MBE1d right"
"104","MBE1b left"
"105","MBE1b right"
"106","MBE1c right"
"107","MBE4a right"
"108","MBE1d left"
"109","MBE4h left"
"110","MBE4h right"
"111","MBE24a right"
"112","MBE1c left"
"113","MBE10b left"
"114","MBE4a left"
"115","MBE10a left"
"116","MBE4g right"
"117","MBE24a left"
"118","MBE4g left"
"119","MBE22 left"
"120","Ladder (olfactory) post."
"121","Ladder (olfactory) ant."
"122","MBE18 right"
"123","MBE9b right"
"124","MBE15b right"
"125","MBE5b left"
"126","MBE15a right"
"127","MBE6 right"
"128","MBE11a right"
"129","MBE11b right"
"130","MBE13a right"
"131","MBE13b right"
"132","MBE7a right"
"133","MBE5a left"
"134","MBE7b right"
"135","MBE2a right"
"136","MBE30 right"
"137","MBE20 right"
"138","MBE2as right"
"139","MBE24b right"
"140","MBE33 right"
"141","MBE13b left"
"142","MBE16 right"
"143","MBE13a left"
"144","MBE35 right"
"145","MBE5a right"
"146","MBE2a left"
"147","MBE34 right"
"148","MBE23 right"
"149","MBE26 right"
"150","MBE5b right"
"151","22c PN right"
"152","67b PN right"
"153","74a PN right"
"154","42b PN right"
"155","85c PN right"
"156","63a PN right"
"157","59a PN right"
"158","13a PN right"
"159","24a PN right"
"160","94a & 94b PN right"
"161","30a PN right"
"162","49a PN right"
"163","47a & 33b PN right"
"164","45a PN right"
"165","mPN iACT bilateral UPPER left"
"166","Gustatory(?) PN to calyx"
"167","42a PN right"
"168","mPN iACT bilateral UPPER right"
"169","83a PN right"
"170","1a PN right"
"171","35a PN bilateral right"
"172","45b PN right"
"173","backwards handlebar left (looks like 35a)"
"174","Handlebar PN (CB on left)"
"175","LH bilateral axon 2 MB Left"
"176","35a PN bilateral left"
"177","Handlebar PN (CB on Right)"
"178","LH bilateral axon 2 MB Right GAP"
"179","backwards handlebar right"
"180","non-olfactory PN right"
"181","PN in Olfactory Bundle 2 (non-odor...)"
"182","3rd-order Thermo 2 Right (Review)"
"183","PVL09;right"
"184","a PN Right (Missing Branch)"
"185","Lower Looping PN Right - AVM004 (BAla1/2)"
"186","mPN iACT C2 right"
