,N,Affinity,Linkage,Covariance_Type,Time
0,40,none,complete,full,0.03786349296569824
1,80,none,complete,full,0.04684090614318848
2,160,none,complete,full,0.047872066497802734
3,320,none,complete,full,0.05016493797302246
4,40,none,complete,tied,0.030916213989257812
5,80,none,complete,tied,0.038897037506103516
6,160,none,complete,tied,0.04085826873779297
7,320,none,complete,tied,0.04584670066833496
8,40,none,complete,diag,0.03487539291381836
9,80,none,complete,diag,0.030684471130371094
10,160,none,complete,diag,0.04787707328796387
11,320,none,complete,diag,0.04942750930786133
12,40,none,complete,spherical,0.03889131546020508
13,80,none,complete,spherical,0.03188180923461914
14,160,none,complete,spherical,0.04487776756286621
15,320,none,complete,spherical,0.04989194869995117
16,40,manhattan,complete,full,0.03892374038696289
17,80,manhattan,complete,full,0.05549764633178711
18,160,manhattan,complete,full,0.0688161849975586
19,320,manhattan,complete,full,0.0738072395324707
20,40,manhattan,complete,tied,0.0359036922454834
21,80,manhattan,complete,tied,0.0359044075012207
22,160,manhattan,complete,tied,0.05388641357421875
23,320,manhattan,complete,tied,0.0608370304107666
24,40,manhattan,complete,diag,0.04179549217224121
25,80,manhattan,complete,diag,0.04185819625854492
26,160,manhattan,complete,diag,0.06283140182495117
27,320,manhattan,complete,diag,0.05787491798400879
28,40,manhattan,complete,spherical,0.03789567947387695
29,80,manhattan,complete,spherical,0.03989243507385254
30,160,manhattan,complete,spherical,0.05089592933654785
31,320,manhattan,complete,spherical,0.06162881851196289
32,40,manhattan,average,full,0.0827476978302002
33,80,manhattan,average,full,0.051891326904296875
34,160,manhattan,average,full,0.05684614181518555
35,320,manhattan,average,full,0.07696151733398438
36,40,manhattan,average,tied,0.06781482696533203
37,80,manhattan,average,tied,0.0418848991394043
38,160,manhattan,average,tied,0.04648113250732422
39,320,manhattan,average,tied,0.060260772705078125
40,40,manhattan,average,diag,0.05884289741516113
41,80,manhattan,average,diag,0.034432411193847656
42,160,manhattan,average,diag,0.04887056350708008
43,320,manhattan,average,diag,0.05485248565673828
44,40,manhattan,average,spherical,0.06679129600524902
45,80,manhattan,average,spherical,0.038796186447143555
46,160,manhattan,average,spherical,0.12313985824584961
47,320,manhattan,average,spherical,0.17157316207885742
48,40,manhattan,single,full,0.11649203300476074
49,80,manhattan,single,full,0.18647074699401855
50,160,manhattan,single,full,0.23070621490478516
51,320,manhattan,single,full,0.2932157516479492
52,40,manhattan,single,tied,0.10693693161010742
53,80,manhattan,single,tied,0.1243438720703125
54,160,manhattan,single,tied,0.1938169002532959
55,320,manhattan,single,tied,0.23623347282409668
56,40,manhattan,single,diag,0.08769989013671875
57,80,manhattan,single,diag,0.14264249801635742
58,160,manhattan,single,diag,0.17087006568908691
59,320,manhattan,single,diag,0.24292445182800293
60,40,manhattan,single,spherical,0.0842745304107666
61,80,manhattan,single,spherical,0.14361810684204102
62,160,manhattan,single,spherical,0.17649555206298828
63,320,manhattan,single,spherical,0.23299646377563477
64,40,euclidean,ward,full,0.046875715255737305
65,80,euclidean,ward,full,0.05661916732788086
66,160,euclidean,ward,full,0.05089759826660156
67,320,euclidean,ward,full,0.0733952522277832
68,40,euclidean,ward,tied,0.0329737663269043
69,80,euclidean,ward,tied,0.04545021057128906
70,160,euclidean,ward,tied,0.04651927947998047
71,320,euclidean,ward,tied,0.06981492042541504
72,40,euclidean,ward,diag,0.030080556869506836
73,80,euclidean,ward,diag,0.045876502990722656
74,160,euclidean,ward,diag,0.046199798583984375
75,320,euclidean,ward,diag,0.05584979057312012
76,40,euclidean,ward,spherical,0.03815007209777832
77,80,euclidean,ward,spherical,0.03789925575256348
78,160,euclidean,ward,spherical,0.049867868423461914
79,320,euclidean,ward,spherical,0.05784749984741211
80,40,euclidean,complete,full,0.06183481216430664
81,80,euclidean,complete,full,0.059868574142456055
82,160,euclidean,complete,full,0.06283116340637207
83,320,euclidean,complete,full,0.07383370399475098
84,40,euclidean,complete,tied,0.03989434242248535
85,80,euclidean,complete,tied,0.04488086700439453
86,160,euclidean,complete,tied,0.046874284744262695
87,320,euclidean,complete,tied,0.06383037567138672
88,40,euclidean,complete,diag,0.029888391494750977
89,80,euclidean,complete,diag,0.048839569091796875
90,160,euclidean,complete,diag,0.05482220649719238
91,320,euclidean,complete,diag,0.06083416938781738
92,40,euclidean,complete,spherical,0.03786897659301758
93,80,euclidean,complete,spherical,0.03889894485473633
94,160,euclidean,complete,spherical,0.045313358306884766
95,320,euclidean,complete,spherical,0.06180620193481445
96,40,euclidean,average,full,0.08075237274169922
97,80,euclidean,average,full,0.05983996391296387
98,160,euclidean,average,full,0.059808969497680664
99,320,euclidean,average,full,0.06781888008117676
100,40,euclidean,average,tied,0.07177281379699707
101,80,euclidean,average,tied,0.03487896919250488
102,160,euclidean,average,tied,0.1376333236694336
103,320,euclidean,average,tied,0.12666082382202148
104,40,euclidean,average,diag,0.06286096572875977
105,80,euclidean,average,diag,0.03989672660827637
106,160,euclidean,average,diag,0.04750823974609375
107,320,euclidean,average,diag,0.06379842758178711
108,40,euclidean,average,spherical,0.06280088424682617
109,80,euclidean,average,spherical,0.03690147399902344
110,160,euclidean,average,spherical,0.13065004348754883
111,320,euclidean,average,spherical,0.1171121597290039
112,40,euclidean,single,full,0.14162087440490723
113,80,euclidean,single,full,0.14963102340698242
114,160,euclidean,single,full,0.223402738571167
115,320,euclidean,single,full,0.3042171001434326
116,40,euclidean,single,tied,0.10057473182678223
117,80,euclidean,single,tied,0.10973858833312988
118,160,euclidean,single,tied,0.18353962898254395
119,320,euclidean,single,tied,0.237396240234375
120,40,euclidean,single,diag,0.10448098182678223
121,80,euclidean,single,diag,0.11073470115661621
122,160,euclidean,single,diag,0.174147367477417
123,320,euclidean,single,diag,0.24930596351623535
124,40,euclidean,single,spherical,0.10812807083129883
125,80,euclidean,single,spherical,0.12050485610961914
126,160,euclidean,single,spherical,0.17353296279907227
127,320,euclidean,single,spherical,0.24032354354858398
128,40,cosine,complete,full,0.04388308525085449
129,80,cosine,complete,full,0.06379985809326172
130,160,cosine,complete,full,0.07377290725708008
131,320,cosine,complete,full,0.08975720405578613
132,40,cosine,complete,tied,0.04108285903930664
133,80,cosine,complete,tied,0.04886889457702637
134,160,cosine,complete,tied,0.05089306831359863
135,320,cosine,complete,tied,0.06966280937194824
136,40,cosine,complete,diag,0.035463571548461914
137,80,cosine,complete,diag,0.08374309539794922
138,160,cosine,complete,diag,0.04889822006225586
139,320,cosine,complete,diag,0.06232571601867676
140,40,cosine,complete,spherical,0.08177876472473145
141,80,cosine,complete,spherical,0.0724630355834961
142,160,cosine,complete,spherical,0.048837900161743164
143,320,cosine,complete,spherical,0.1187129020690918
144,40,cosine,average,full,0.049036502838134766
145,80,cosine,average,full,0.06482696533203125
146,160,cosine,average,full,0.06781744956970215
147,320,cosine,average,full,0.08873200416564941
148,40,cosine,average,tied,0.0418553352355957
149,80,cosine,average,tied,0.09072709083557129
150,160,cosine,average,tied,0.10303664207458496
151,320,cosine,average,tied,0.06482625007629395
152,40,cosine,average,diag,0.032910823822021484
153,80,cosine,average,diag,0.07454609870910645
154,160,cosine,average,diag,0.04734683036804199
155,320,cosine,average,diag,0.0626974105834961
156,40,cosine,average,spherical,0.08377671241760254
157,80,cosine,average,spherical,0.07984542846679688
158,160,cosine,average,spherical,0.055887460708618164
159,320,cosine,average,spherical,0.060806989669799805
160,40,cosine,single,full,0.04890012741088867
161,80,cosine,single,full,0.223433256149292
162,160,cosine,single,full,0.2433488368988037
163,320,cosine,single,full,0.2643249034881592
164,40,cosine,single,tied,0.07202625274658203
165,80,cosine,single,tied,0.22149991989135742
166,160,cosine,single,tied,0.2183854579925537
167,320,cosine,single,tied,0.22808527946472168
168,40,cosine,single,diag,0.03793025016784668
169,80,cosine,single,diag,0.13862919807434082
170,160,cosine,single,diag,0.15555453300476074
171,320,cosine,single,diag,0.24155330657958984
172,40,cosine,single,spherical,0.10070037841796875
173,80,cosine,single,spherical,0.1416151523590088
174,160,cosine,single,spherical,0.15159273147583008
175,320,cosine,single,spherical,0.2343752384185791
