,N,Covariance_Type,Time
0,40,full,1.3723280429840088
1,80,full,1.4082646369934082
2,160,full,1.4760525226593018
3,320,full,1.528911828994751
4,40,tied,0.8935806751251221
5,80,tied,1.1099998950958252
6,160,tied,1.7542812824249268
7,320,tied,1.250655174255371
8,40,diag,0.8796207904815674
9,80,diag,1.046755313873291
10,160,diag,0.9744231700897217
11,320,diag,1.068143367767334
12,40,spherical,0.891613245010376
13,80,spherical,0.9344682693481445
14,160,spherical,0.9334988594055176
15,320,spherical,1.1100273132324219
