{'N': 40, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 1.388828992843628}
{'N': 80, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 1.2668788433074951}
{'N': 160, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 0.7910852432250977}
{'N': 320, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 0.9130020141601562}
{'N': 640, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 1.043959617614746}
{'N': 1280, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 1.244577407836914}
{'N': 2560, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 2.2279257774353027}
{'N': 5120, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 3.8559746742248535}
{'N': 10240, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 8.706205368041992}
{'N': 20480, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 22.12673544883728}
{'N': 40, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 2.7177679538726807}
{'N': 80, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 2.00164532661438}
{'N': 160, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 0.5993974208831787}
{'N': 320, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 1.008302927017212}
{'N': 640, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 1.0870938301086426}
{'N': 1280, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 1.7451117038726807}
{'N': 2560, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 2.2272841930389404}
{'N': 5120, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 4.154687404632568}
{'N': 10240, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 9.049731492996216}
{'N': 20480, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 21.092848777770996}
{'N': 40, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 0.6702654361724854}
{'N': 80, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 0.7399790287017822}
{'N': 160, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 0.39382338523864746}
{'N': 320, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 0.40534377098083496}
{'N': 640, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 0.5785319805145264}
{'N': 1280, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 0.9446392059326172}
{'N': 2560, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 1.7260031700134277}
{'N': 5120, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 3.361544609069824}
{'N': 10240, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 9.860898494720459}
{'N': 20480, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 17.83382797241211}
{'N': 40, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 0.771728515625}
{'N': 80, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 0.6478176116943359}
{'N': 160, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 0.30008554458618164}
{'N': 320, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 0.6206531524658203}
{'N': 640, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 0.6016955375671387}
{'N': 1280, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 0.948681116104126}
{'N': 2560, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 1.7579951286315918}
{'N': 5120, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 3.6088294982910156}
{'N': 10240, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 8.303495407104492}
{'N': 20480, 'Affinity': 'none', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 18.650736570358276}
{'N': 40, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 1.2852752208709717}
{'N': 80, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 2.032097101211548}
{'N': 160, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 0.9509358406066895}
{'N': 320, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 1.3152503967285156}
{'N': 640, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 1.2997815608978271}
{'N': 1280, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 2.126929759979248}
{'N': 2560, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 6.705884695053101}
{'N': 5120, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 21.531450271606445}
{'N': 10240, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 78.83083701133728}
{'N': 20480, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'full', 'Time': 363.3524489402771}
{'N': 40, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 1.2016890048980713}
{'N': 80, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 1.9336237907409668}
{'N': 160, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 0.43170690536499023}
{'N': 320, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 0.5626506805419922}
{'N': 640, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 4.104614496231079}
{'N': 1280, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 2.048703670501709}
{'N': 2560, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 5.870235204696655}
{'N': 5120, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 20.902790784835815}
{'N': 10240, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 92.45112156867981}
{'N': 20480, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'tied', 'Time': 371.0665328502655}
{'N': 40, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 0.7420365810394287}
{'N': 80, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 1.323051929473877}
{'N': 160, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 0.7999393939971924}
{'N': 320, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 0.598609209060669}
{'N': 640, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 0.9433155059814453}
{'N': 1280, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 1.7048535346984863}
{'N': 2560, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 5.598578453063965}
{'N': 5120, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 19.416377544403076}
{'N': 10240, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 77.40285849571228}
{'N': 20480, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'diag', 'Time': 362.22190260887146}
{'N': 40, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 0.7847065925598145}
{'N': 80, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 1.0071179866790771}
{'N': 160, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 0.5316078662872314}
{'N': 320, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 0.5086750984191895}
{'N': 640, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 4.302802324295044}
{'N': 1280, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 2.582428216934204}
{'N': 2560, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 5.816826343536377}
{'N': 5120, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 23.999238967895508}
{'N': 10240, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 81.1128625869751}
{'N': 20480, 'Affinity': 'manhattan', 'Linkage': 'complete', 'Covariance_Type': 'spherical', 'Time': 391.9495177268982}
{'N': 40, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'full', 'Time': 1.4502406120300293}
{'N': 80, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'full', 'Time': 1.708526611328125}
{'N': 160, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'full', 'Time': 0.9418296813964844}
{'N': 320, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'full', 'Time': 0.7847719192504883}
{'N': 640, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'full', 'Time': 5.390278339385986}
{'N': 1280, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'full', 'Time': 8.02392840385437}
{'N': 2560, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'full', 'Time': 17.400261640548706}
{'N': 5120, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'full', 'Time': 40.76928400993347}
{'N': 10240, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'full', 'Time': 95.36797618865967}
{'N': 20480, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'full', 'Time': 436.99968433380127}
{'N': 40, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'tied', 'Time': 1.2212488651275635}
{'N': 80, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'tied', 'Time': 1.4294326305389404}
{'N': 160, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'tied', 'Time': 0.7438454627990723}
{'N': 320, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'tied', 'Time': 1.254086971282959}
{'N': 640, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'tied', 'Time': 4.229871988296509}
{'N': 1280, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'tied', 'Time': 7.646574020385742}
{'N': 2560, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'tied', 'Time': 16.52219009399414}
{'N': 5120, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'tied', 'Time': 41.0783531665802}
{'N': 10240, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'tied', 'Time': 132.8189401626587}
{'N': 20480, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'tied', 'Time': 462.26393270492554}
{'N': 40, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'diag', 'Time': 0.843672513961792}
{'N': 80, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'diag', 'Time': 1.1342713832855225}
{'N': 160, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'diag', 'Time': 0.3954036235809326}
{'N': 320, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'diag', 'Time': 0.42202162742614746}
{'N': 640, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'diag', 'Time': 4.174116849899292}
{'N': 1280, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'diag', 'Time': 7.405322313308716}
{'N': 2560, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'diag', 'Time': 16.080465078353882}
{'N': 5120, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'diag', 'Time': 39.53591537475586}
{'N': 10240, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'diag', 'Time': 127.96766662597656}
{'N': 20480, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'diag', 'Time': 471.25415229797363}
{'N': 40, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'spherical', 'Time': 0.9229199886322021}
{'N': 80, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'spherical', 'Time': 1.160104513168335}
{'N': 160, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'spherical', 'Time': 1.6405949592590332}
{'N': 320, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'spherical', 'Time': 2.6503586769104004}
{'N': 640, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'spherical', 'Time': 4.7203688621521}
{'N': 1280, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'spherical', 'Time': 8.09551453590393}
{'N': 2560, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'spherical', 'Time': 17.924106121063232}
{'N': 5120, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'spherical', 'Time': 58.81315088272095}
{'N': 10240, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'spherical', 'Time': 206.99421739578247}
{'N': 20480, 'Affinity': 'manhattan', 'Linkage': 'average', 'Covariance_Type': 'spherical', 'Time': 648.1761853694916}
{'N': 40, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'full', 'Time': 2.5091333389282227}
{'N': 80, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'full', 'Time': 3.1071763038635254}
{'N': 160, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'full', 'Time': 3.0041372776031494}
{'N': 320, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'full', 'Time': 3.1577043533325195}
{'N': 640, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'full', 'Time': 6.635243892669678}
{'N': 1280, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'full', 'Time': 9.534800052642822}
{'N': 2560, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'full', 'Time': 19.167185068130493}
{'N': 5120, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'full', 'Time': 40.107914209365845}
{'N': 10240, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'full', 'Time': 96.84550929069519}
{'N': 20480, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'full', 'Time': 311.1064622402191}
{'N': 40, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'tied', 'Time': 1.475231647491455}
{'N': 80, 'Affinity': 'manhattan', 'Linkage': 'single', 'Covariance_Type': 'tied', 'Time': 1.5616445541381836}
