,N,Affinity,Linkage,Covariance_Type,Time
0,40,none,complete,full,1.5742933750152588
1,80,none,complete,full,1.643899917602539
2,160,none,complete,full,1.291144847869873
3,320,none,complete,full,1.8002746105194092
4,640,none,complete,full,2.4021215438842773
5,1280,none,complete,full,2.359438896179199
6,2560,none,complete,full,4.368293762207031
7,5120,none,complete,full,10.67385721206665
8,10240,none,complete,full,21.38070011138916
9,20480,none,complete,full,41.547670125961304
10,40,none,complete,tied,2.228922128677368
11,80,none,complete,tied,1.8756804466247559
12,160,none,complete,tied,0.8222086429595947
13,320,none,complete,tied,1.3348917961120605
14,640,none,complete,tied,1.540680170059204
15,1280,none,complete,tied,2.9547088146209717
16,2560,none,complete,tied,4.259472608566284
17,5120,none,complete,tied,8.09731936454773
18,10240,none,complete,tied,14.874621391296387
19,20480,none,complete,tied,22.813405752182007
20,40,none,complete,diag,0.6936047077178955
21,80,none,complete,diag,0.5858242511749268
22,160,none,complete,diag,0.44542503356933594
23,320,none,complete,diag,0.47468996047973633
24,640,none,complete,diag,0.776848554611206
25,1280,none,complete,diag,1.3924126625061035
26,2560,none,complete,diag,2.020409345626831
27,5120,none,complete,diag,3.3622794151306152
28,10240,none,complete,diag,8.095958232879639
29,20480,none,complete,diag,17.395521640777588
30,40,none,complete,spherical,0.650313138961792
31,80,none,complete,spherical,0.7404181957244873
32,160,none,complete,spherical,0.31902146339416504
33,320,none,complete,spherical,0.38349318504333496
34,640,none,complete,spherical,0.5529747009277344
35,1280,none,complete,spherical,0.9232177734375
36,2560,none,complete,spherical,1.6792457103729248
37,5120,none,complete,spherical,3.3560705184936523
38,10240,none,complete,spherical,8.014131784439087
39,20480,none,complete,spherical,17.436957597732544
40,40,manhattan,complete,full,1.2212040424346924
41,80,manhattan,complete,full,1.9884793758392334
42,160,manhattan,complete,full,0.9277133941650391
43,320,manhattan,complete,full,1.2790727615356445
44,640,manhattan,complete,full,1.2729763984680176
45,1280,manhattan,complete,full,2.047377824783325
46,2560,manhattan,complete,full,6.345312595367432
47,5120,manhattan,complete,full,21.93643093109131
48,10240,manhattan,complete,full,76.16020941734314
