,N,Affinity,Linkage,Covariance_Type,Time
0,40,none,complete,full,0.04085946083068848
1,80,none,complete,full,0.057845115661621094
2,160,none,complete,full,0.0468754768371582
3,320,none,complete,full,0.05185961723327637
4,640,none,complete,full,0.06579422950744629
5,1280,none,complete,full,0.09175324440002441
6,2560,none,complete,full,0.14960026741027832
7,5120,none,complete,full,0.2343757152557373
8,10240,none,complete,full,0.47592759132385254
9,20480,none,complete,full,0.9214353561401367
10,40960,none,complete,full,1.8543846607208252
11,81920,none,complete,full,4.189876079559326
12,163840,none,complete,full,8.258518934249878
13,327680,none,complete,full,19.636579036712646
14,655360,none,complete,full,36.671226978302
15,1310720,none,complete,full,83.45756077766418
16,40,none,complete,tied,0.039894819259643555
17,80,none,complete,tied,0.041857242584228516
18,160,none,complete,tied,0.04527091979980469
19,320,none,complete,tied,0.05250120162963867
20,640,none,complete,tied,0.07377266883850098
21,1280,none,complete,tied,0.08483028411865234
22,2560,none,complete,tied,0.1469440460205078
23,5120,none,complete,tied,0.24175262451171875
24,10240,none,complete,tied,0.4884459972381592
25,20480,none,complete,tied,0.9571964740753174
26,40960,none,complete,tied,2.2537872791290283
27,81920,none,complete,tied,4.167013883590698
28,163840,none,complete,tied,9.6871657371521
29,327680,none,complete,tied,17.60088586807251
30,655360,none,complete,tied,35.45959258079529
31,1310720,none,complete,tied,67.97762823104858
32,40,none,complete,diag,0.03687429428100586
33,80,none,complete,diag,0.03687095642089844
34,160,none,complete,diag,0.03338980674743652
35,320,none,complete,diag,0.04520297050476074
36,640,none,complete,diag,0.05784296989440918
37,1280,none,complete,diag,0.07875561714172363
38,2560,none,complete,diag,0.12566161155700684
39,5120,none,complete,diag,0.22822165489196777
40,10240,none,complete,diag,0.44580721855163574
41,20480,none,complete,diag,0.8437445163726807
42,40960,none,complete,diag,1.6770901679992676
43,81920,none,complete,diag,3.6557438373565674
44,163840,none,complete,diag,8.99655818939209
45,327680,none,complete,diag,17.555803537368774
46,655360,none,complete,diag,32.55867075920105
47,1310720,none,complete,diag,58.72169828414917
48,40,none,complete,spherical,0.027956485748291016
49,80,none,complete,spherical,0.029559612274169922
50,160,none,complete,spherical,0.03210639953613281
51,320,none,complete,spherical,0.03985261917114258
52,640,none,complete,spherical,0.05486726760864258
53,1280,none,complete,spherical,0.07377362251281738
54,2560,none,complete,spherical,0.13006091117858887
55,5120,none,complete,spherical,0.22653603553771973
56,10240,none,complete,spherical,0.41848325729370117
57,20480,none,complete,spherical,0.9375
58,40960,none,complete,spherical,2.0878493785858154
59,81920,none,complete,spherical,3.997215747833252
60,163840,none,complete,spherical,9.189651489257812
61,327680,none,complete,spherical,15.607958793640137
62,655360,none,complete,spherical,32.404173135757446
63,1310720,none,complete,spherical,66.84611010551453
64,40,manhattan,complete,full,0.03989577293395996
65,80,manhattan,complete,full,0.04861760139465332
66,160,manhattan,complete,full,0.06581616401672363
67,320,manhattan,complete,full,0.1029822826385498
68,640,manhattan,complete,full,0.16655611991882324
69,1280,manhattan,complete,full,0.7457077503204346
70,2560,manhattan,complete,full,1.0036587715148926
71,5120,manhattan,complete,full,0.665675163269043
72,10240,manhattan,complete,full,0.9327995777130127
73,20480,manhattan,complete,full,1.3873989582061768
74,40960,manhattan,complete,full,8.230988264083862
75,81920,manhattan,complete,full,4.392406702041626
76,163840,manhattan,complete,full,8.67384958267212
77,327680,manhattan,complete,full,20.23600149154663
78,655360,manhattan,complete,full,34.47369647026062
79,1310720,manhattan,complete,full,80.27897644042969
80,40,manhattan,complete,tied,0.04491376876831055
81,80,manhattan,complete,tied,0.0379023551940918
82,160,manhattan,complete,tied,0.04288530349731445
83,320,manhattan,complete,tied,0.06781864166259766
84,640,manhattan,complete,tied,0.09973502159118652
85,1280,manhattan,complete,tied,0.24135446548461914
86,2560,manhattan,complete,tied,0.508044958114624
87,5120,manhattan,complete,tied,0.6336057186126709
88,10240,manhattan,complete,tied,0.8515439033508301
89,20480,manhattan,complete,tied,1.262702465057373
90,40960,manhattan,complete,tied,2.3377883434295654
91,81920,manhattan,complete,tied,4.19956374168396
92,163840,manhattan,complete,tied,8.389886617660522
93,327680,manhattan,complete,tied,16.78067111968994
94,655360,manhattan,complete,tied,35.16313648223877
95,1310720,manhattan,complete,tied,71.30799508094788
96,40,manhattan,complete,diag,0.03886604309082031
97,80,manhattan,complete,diag,0.0388643741607666
98,160,manhattan,complete,diag,0.054856300354003906
99,320,manhattan,complete,diag,0.05584907531738281
100,640,manhattan,complete,diag,0.10304498672485352
101,1280,manhattan,complete,diag,0.2533278465270996
102,2560,manhattan,complete,diag,0.5315806865692139
103,5120,manhattan,complete,diag,0.6253502368927002
104,10240,manhattan,complete,diag,0.8183066844940186
105,20480,manhattan,complete,diag,2.8394768238067627
106,40960,manhattan,complete,diag,7.802436113357544
107,81920,manhattan,complete,diag,5.008573055267334
108,163840,manhattan,complete,diag,9.933940887451172
109,327680,manhattan,complete,diag,19.09268593788147
110,655360,manhattan,complete,diag,33.4030237197876
111,1310720,manhattan,complete,diag,63.70872521400452
112,40,manhattan,complete,spherical,0.03390979766845703
113,80,manhattan,complete,spherical,0.053855180740356445
114,160,manhattan,complete,spherical,0.05189228057861328
115,320,manhattan,complete,spherical,0.07077717781066895
116,640,manhattan,complete,spherical,0.1047217845916748
117,1280,manhattan,complete,spherical,0.23836326599121094
118,2560,manhattan,complete,spherical,0.5146222114562988
119,5120,manhattan,complete,spherical,1.5401475429534912
120,10240,manhattan,complete,spherical,0.8341033458709717
121,20480,manhattan,complete,spherical,1.2726531028747559
122,40960,manhattan,complete,spherical,7.053658485412598
123,81920,manhattan,complete,spherical,3.9535436630249023
124,163840,manhattan,complete,spherical,8.407150983810425
125,327680,manhattan,complete,spherical,18.21521019935608
126,655360,manhattan,complete,spherical,120.87863636016846
127,1310720,manhattan,complete,spherical,64.54164838790894
128,40,manhattan,average,full,0.09278345108032227
129,80,manhattan,average,full,0.04561591148376465
130,160,manhattan,average,full,0.05385589599609375
131,320,manhattan,average,full,0.07380247116088867
132,640,manhattan,average,full,0.2922194004058838
133,1280,manhattan,average,full,0.3979370594024658
134,2560,manhattan,average,full,0.7250626087188721
135,5120,manhattan,average,full,1.602090835571289
136,10240,manhattan,average,full,2.3914096355438232
137,20480,manhattan,average,full,3.3178677558898926
138,40960,manhattan,average,full,5.712418794631958
139,81920,manhattan,average,full,14.106709003448486
140,163840,manhattan,average,full,38.776580572128296
141,327680,manhattan,average,full,74.20153045654297
142,655360,manhattan,average,full,138.53957438468933
143,1310720,manhattan,average,full,248.94632720947266
144,40,manhattan,average,tied,0.06682348251342773
145,80,manhattan,average,tied,0.03563070297241211
146,160,manhattan,average,tied,0.047875404357910156
147,320,manhattan,average,tied,0.05485367774963379
148,640,manhattan,average,tied,0.26326727867126465
149,1280,manhattan,average,tied,0.5126285552978516
150,2560,manhattan,average,tied,0.7420163154602051
151,5120,manhattan,average,tied,1.5709466934204102
152,10240,manhattan,average,tied,2.733799457550049
153,20480,manhattan,average,tied,1.2849087715148926
154,40960,manhattan,average,tied,6.639718770980835
155,81920,manhattan,average,tied,4.007629632949829
156,163840,manhattan,average,tied,8.85108494758606
157,327680,manhattan,average,tied,61.27501940727234
158,655360,manhattan,average,tied,31.478296995162964
159,1310720,manhattan,average,tied,60.36336326599121
160,40,manhattan,average,diag,0.05987095832824707
161,80,manhattan,average,diag,0.034874916076660156
162,160,manhattan,average,diag,0.04188823699951172
163,320,manhattan,average,diag,0.051982879638671875
164,640,manhattan,average,diag,0.2563159465789795
165,1280,manhattan,average,diag,0.3909878730773926
166,2560,manhattan,average,diag,1.0222668647766113
167,5120,manhattan,average,diag,1.5696606636047363
168,10240,manhattan,average,diag,0.7992818355560303
169,20480,manhattan,average,diag,5.562080144882202
170,40960,manhattan,average,diag,9.964728832244873
171,81920,manhattan,average,diag,18.935214281082153
172,163840,manhattan,average,diag,40.072808265686035
173,327680,manhattan,average,diag,54.3900191783905
174,655360,manhattan,average,diag,113.95025944709778
175,1310720,manhattan,average,diag,276.2610356807709
176,40,manhattan,average,spherical,0.06882667541503906
177,80,manhattan,average,spherical,0.041411638259887695
178,160,manhattan,average,spherical,0.12566399574279785
179,320,manhattan,average,spherical,0.16655421257019043
180,640,manhattan,average,spherical,0.25531792640686035
181,1280,manhattan,average,spherical,0.4899611473083496
182,2560,manhattan,average,spherical,0.7918827533721924
183,5120,manhattan,average,spherical,1.8137025833129883
184,10240,manhattan,average,spherical,2.5428969860076904
185,20480,manhattan,average,spherical,3.2462096214294434
186,40960,manhattan,average,spherical,8.8453688621521
187,81920,manhattan,average,spherical,10.457638263702393
188,163840,manhattan,average,spherical,27.071887254714966
189,327680,manhattan,average,spherical,84.81560969352722
190,655360,manhattan,average,spherical,83.88968586921692
191,1310720,manhattan,average,spherical,308.24085092544556
192,40,manhattan,single,full,0.12016439437866211
193,80,manhattan,single,full,0.1795501708984375
194,160,manhattan,single,full,0.2316579818725586
195,320,manhattan,single,full,0.2841024398803711
196,640,manhattan,single,full,0.3666231632232666
197,1280,manhattan,single,full,0.5878090858459473
198,2560,manhattan,single,full,1.0796449184417725
199,5120,manhattan,single,full,1.8206372261047363
200,10240,manhattan,single,full,3.2520313262939453
201,20480,manhattan,single,full,7.688743829727173
202,40960,manhattan,single,full,13.702589988708496
203,81920,manhattan,single,full,29.591770887374878
204,163840,manhattan,single,full,59.567466735839844
205,327680,manhattan,single,full,132.9549126625061
206,655360,manhattan,single,full,243.0376913547516
207,1310720,manhattan,single,full,550.2757625579834
208,40,manhattan,single,tied,0.12169170379638672
209,80,manhattan,single,tied,0.14187407493591309
210,160,manhattan,single,tied,0.2100825309753418
211,320,manhattan,single,tied,0.3694932460784912
212,640,manhattan,single,tied,0.5412085056304932
213,1280,manhattan,single,tied,0.7277364730834961
214,2560,manhattan,single,tied,1.2516887187957764
215,5120,manhattan,single,tied,2.2295570373535156
216,10240,manhattan,single,tied,4.439556837081909
217,20480,manhattan,single,tied,8.26793909072876
218,40960,manhattan,single,tied,21.543681383132935
219,81920,manhattan,single,tied,36.3938946723938
220,163840,manhattan,single,tied,66.9513430595398
221,327680,manhattan,single,tied,100.00395178794861
222,655360,manhattan,single,tied,230.27135467529297
223,1310720,manhattan,single,tied,462.979300737381
224,40,manhattan,single,diag,0.09167289733886719
225,80,manhattan,single,diag,0.14119768142700195
226,160,manhattan,single,diag,0.16208314895629883
227,320,manhattan,single,diag,0.27406907081604004
228,640,manhattan,single,diag,0.33391332626342773
229,1280,manhattan,single,diag,0.5630803108215332
230,2560,manhattan,single,diag,1.0521788597106934
231,5120,manhattan,single,diag,1.7868890762329102
232,10240,manhattan,single,diag,3.3637278079986572
233,20480,manhattan,single,diag,6.364431142807007
234,40960,manhattan,single,diag,13.651741027832031
235,81920,manhattan,single,diag,26.646503686904907
236,163840,manhattan,single,diag,55.961840867996216
237,327680,manhattan,single,diag,118.46444916725159
238,655360,manhattan,single,diag,217.84034371376038
239,1310720,manhattan,single,diag,450.1993680000305
240,40,manhattan,single,spherical,0.09169244766235352
241,80,manhattan,single,spherical,0.1402285099029541
242,160,manhattan,single,spherical,0.16427969932556152
243,320,manhattan,single,spherical,0.2240891456604004
244,640,manhattan,single,spherical,0.3614778518676758
245,1280,manhattan,single,spherical,0.5846641063690186
246,2560,manhattan,single,spherical,1.080920696258545
247,5120,manhattan,single,spherical,1.8598606586456299
248,10240,manhattan,single,spherical,3.479736089706421
249,20480,manhattan,single,spherical,6.380535364151001
250,40960,manhattan,single,spherical,13.470219373703003
