"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",98,44,54,35,85,65,71,86,86,25
"2",31,48,14,28,25,57,40,1,70,52
"3",49,94,7,10,38,12,87,66,100,6
"4",47,55,49,74,67,50,29,12,1,96
"5",79,99,12,87,18,93,100,73,35,12
"6",52,23,74,9,37,43,14,23,60,88
"7",50,79,53,94,4,44,60,43,43,27
"8",46,51,83,51,51,51,11,2,82,38
"9",17,15,45,64,84,29,72,41,5,15
"10",92,21,85,76,29,46,97,39,11,3
"11",15,50,69,19,36,21,47,100,27,85
"12",70,5,27,93,40,66,61,18,33,14
"13",71,37,57,52,5,37,3,48,65,32
"14",63,31,22,72,47,84,45,63,53,78
"15",43,73,42,7,49,22,56,61,42,81
"16",77,11,9,68,22,31,67,78,73,54
"17",74,76,94,84,7,67,53,87,89,2
"18",55,45,97,91,58,34,66,11,18,75
"19",51,97,25,96,89,10,57,34,87,4
"20",40,91,66,79,71,79,19,56,83,69
"21",14,6,34,48,8,64,90,36,71,93
"22",7,33,92,49,93,45,88,55,77,5
"23",8,54,55,24,15,70,70,50,78,37
"24",6,92,10,47,12,99,94,64,28,89
"25",25,87,2,65,96,87,58,7,67,47
"26",67,66,43,21,98,76,80,72,36,48
"27",12,71,40,86,59,90,81,16,19,41
"28",65,85,82,17,56,71,38,45,17,21
"29",26,74,20,6,48,25,37,26,58,65
"30",36,1,98,78,87,59,98,37,25,92
"31",68,64,30,95,68,73,26,69,85,62
"32",64,52,44,23,83,40,17,88,8,70
"33",75,14,1,80,11,78,10,98,68,42
"34",45,83,33,45,3,35,24,28,47,67
"35",3,40,87,25,14,72,1,93,20,61
"36",66,17,84,98,88,68,74,49,50,17
"37",81,39,70,1,41,88,31,35,69,49
"38",33,82,21,81,79,86,55,77,29,11
"39",44,12,50,14,99,69,95,32,13,56
"40",78,38,58,12,46,5,9,51,10,58
"41",84,75,51,75,32,8,93,82,56,87
"42",90,96,75,37,74,89,32,21,32,30
"43",35,8,91,46,39,20,34,8,30,72
"44",29,57,39,77,81,4,82,33,81,90
"45",59,47,52,85,28,27,42,62,90,64
"46",22,68,81,4,69,18,84,68,12,8
"47",100,28,19,5,82,63,86,15,21,94
"48",37,81,4,56,53,24,50,54,96,51
"49",62,46,37,13,97,49,89,90,51,34
"50",58,72,59,36,10,41,48,58,80,45
"51",38,3,99,99,80,14,16,42,44,53
"52",76,49,17,88,100,7,20,80,63,55
"53",86,16,64,54,78,81,78,25,61,24
"54",73,58,60,2,57,48,46,92,72,36
"55",32,36,93,61,30,54,18,94,7,66
"56",91,25,68,92,72,61,79,65,40,29
"57",60,88,95,82,34,75,36,60,39,50
"58",69,67,62,89,66,96,65,24,22,46
"59",16,27,76,38,27,2,6,47,59,63
"60",39,59,38,34,63,60,4,79,97,79
"61",21,9,56,42,35,1,7,84,91,73
"62",28,90,88,8,20,53,25,70,15,44
"63",27,18,47,32,52,80,21,52,54,20
"64",41,24,67,30,1,97,49,10,41,40
"65",88,2,5,55,24,32,43,89,4,60
"66",30,63,31,83,55,26,59,40,38,23
"67",34,34,13,63,31,92,41,57,16,99
"68",10,30,100,62,45,17,91,99,76,76
"69",94,7,63,22,77,58,12,9,99,74
"70",87,29,35,66,70,15,33,76,66,68
"71",4,77,80,31,86,33,35,20,26,77
"72",80,56,24,90,61,56,63,96,46,7
"73",95,10,86,33,9,19,96,44,94,22
"74",23,20,18,43,42,13,73,19,88,71
"75",11,4,79,57,21,39,83,38,45,43
"76",1,62,78,53,26,11,30,3,23,80
"77",82,43,77,16,50,55,8,97,31,31
"78",93,95,96,59,33,52,2,74,79,18
"79",54,84,89,60,62,82,39,5,2,83
"80",61,93,15,41,90,77,27,71,92,33
